id	yearsAgo	commonsPage	directUrl	licenseShortName	width	height	contested
great-wave-off-kanagawa	169	https://commons.wikimedia.org/wiki/File:Tsunami_by_hokusai_19th_century.jpg	https://upload.wikimedia.org/wikipedia/commons/a/a5/Tsunami_by_hokusai_19th_century.jpg	Public domain	3859	2594	false
morse-telegraph	163	https://commons.wikimedia.org/wiki/File:PSM_V03_D423_Morse_telegraph.jpg	https://upload.wikimedia.org/wikipedia/commons/7/74/PSM_V03_D423_Morse_telegraph.jpg	Public domain	1293	907	false
penny-black	160	https://commons.wikimedia.org/wiki/File:%22Penny_Black%22_postage_stamps_MET_DP328201.jpg	https://upload.wikimedia.org/wikipedia/commons/0/09/%22Penny_Black%22_postage_stamps_MET_DP328201.jpg	Public domain	2704	3194	false
bell-telephone	124	https://commons.wikimedia.org/wiki/File:PSM_V12_D582_Bell_telephone.jpg	https://upload.wikimedia.org/wikipedia/commons/c/cf/PSM_V12_D582_Bell_telephone.jpg	Public domain	599	1134	true
brooklyn-bridge	117	https://commons.wikimedia.org/wiki/File:East_River_Bridge,_New_York_City_LCCN2003653821.jpg	https://upload.wikimedia.org/wikipedia/commons/1/12/East_River_Bridge%2C_New_York_City_LCCN2003653821.jpg	Public domain	1536	1023	false
eiffel-tower	111	https://commons.wikimedia.org/wiki/File:Eiffel_Tower,_full-view_looking_toward_the_Trocadero,_Exposition_Universal,_1900,_Paris,_France.jpg	https://upload.wikimedia.org/wikipedia/commons/6/67/Eiffel_Tower%2C_full-view_looking_toward_the_Trocadero%2C_Exposition_Universal%2C_1900%2C_Paris%2C_France.jpg	Public domain	2334	3301	false
marconi-wireless-1901	99	https://commons.wikimedia.org/wiki/File:Guglielmo_Marconi_1901_wireless_signal.jpg	https://upload.wikimedia.org/wikipedia/commons/7/76/Guglielmo_Marconi_1901_wireless_signal.jpg	Public domain	3000	1849	false
wright-flyer-first-flight	97	https://commons.wikimedia.org/wiki/File:First_flight2.jpg	https://upload.wikimedia.org/wikipedia/commons/8/86/First_flight2.jpg	Public domain	6603	4280	false
ford-model-t-roadster	77	https://commons.wikimedia.org/wiki/File:1923_Ford_Model_T_Roadster_3b36638r.jpg	https://upload.wikimedia.org/wikipedia/commons/7/7c/1923_Ford_Model_T_Roadster_3b36638r.jpg	Public domain	640	458	false
trinity-test-fireball	55	https://commons.wikimedia.org/wiki/File:Trinity_Test_Fireball_16ms.jpg	https://upload.wikimedia.org/wikipedia/commons/7/78/Trinity_Test_Fireball_16ms.jpg	Public domain	1483	1000	false
eniac-brl-programmers	53	https://commons.wikimedia.org/wiki/File:Glen_Beck_and_Betty_Snyder_program_the_ENIAC_in_building_328_at_the_Ballistic_Research_Laboratory.jpg	https://upload.wikimedia.org/wikipedia/commons/d/d3/Glen_Beck_and_Betty_Snyder_program_the_ENIAC_in_building_328_at_the_Ballistic_Research_Laboratory.jpg	Public domain	1340	1024	false
sputnik-1-replica	43	https://commons.wikimedia.org/wiki/File:Sputnik_asm.jpg	https://upload.wikimedia.org/wikipedia/commons/b/be/Sputnik_asm.jpg	Public domain	1094	896	false
apollo-11-bootprint	31	https://commons.wikimedia.org/wiki/File:Apollo_11_bootprint.jpg	https://upload.wikimedia.org/wikipedia/commons/8/89/Apollo_11_bootprint.jpg	Public domain	2349	2369	false
